Company Name,Location,"Employees
Affected","Layoff
Date"
"8 POINTS MANAGEMENT, LLC",INGLEWOOD,144,3/23/14
ABBOTT VASCULAR,MURRIETA,1,2/18/14
ABBOTT VASCULAR,SANTA CLARA,91,2/18/14
ABBOTT VASCULAR,TEMECULA,52,2/18/14
ABBOTT VASCULAR-ZEVO SITE,TEMECULA,13,3/11/14
ABERCROMBIE KIDS,ROSEVILLE,52,1/25/14
ACTAVIS,CORONA,56,1/3/14
"ACTAVIS, INC.-SHARED SERVICE
DEPARTMENT",CORONA,1,7/1/14
ADOBE SYSTEMS INC,SAN FRANCISCO,17,2/7/14
ADOBE SYSTEMS INC,SAN JOSE,40,2/7/14
ADOBE SYSTEMS INCORPORATED,SAN FRANCISCO,25,3/31/14
ADOBE SYSTEMS INCORPORATED,SAN JOSE,46,3/31/14
AEROJET ROCKETDYNE,CANOGA PARK,8,3/31/14
AEROJET ROCKETDYNE,CANOGA PARK,154,3/31/14
"AEROJET ROCKETDYNE-CANOGA
PARK",,7,3/31/14
"AEROJET ROCKETDYNE-RANCHO
CORDOVA",RANCHO CORDOVA,61,3/31/14
"ALBERTSON'S, LLC",CHULA VISTA,66,2/20/14
"ALBERTSON'S, LLC",LONG BEACH,75,2/20/14
"ALBERTSON'S, LLC",MONROVIA,67,2/20/14
"ALBERTSON'S, LLC",MOORPARK,66,2/20/14
"ALBERTSON'S, LLC",ONTARIO,74,2/20/14
"ALBERTSON'S, LLC",SAN DIEGO,92,2/20/14
"ALBERTSON'S, LLC",WOODLAND HILLS,71,2/20/14
ALLIED BEVERAGES INC,CAMARILLO,139,1/17/14
ALLIED BEVERAGES INC,SYLMAR,139,1/17/14
"ALLIED BEVERAGES, INC",SYLMAR,144,1/17/14
"ALTA BATES SUMMIT MED.CTR.-ALTA
BATES CAMPUS",BERKELEY,110,3/2/14
"ALTA BATES SUMMIT MEDICAL
CENTER-HERRICK CAMPUS",BERKELEY,29,3/2/14
"ALTA BATES SUMMIT MEDICAL
CENTER-SUMMIT CAMPUS",OAKLAND,88,3/2/14
"ALTA BATES SUMMIT MEDICAL
CENTER-SUMMIT CAMPUS",OAKLAND,1,4/7/14
"ALTA BATES SUMMIT MEIDCAL
CENTER - SUMMIT CAMPUS",OAKLAND,11,2/16/14
ALTA RESOURCES,BREA,52,1/15/14
AMGEN (THOUSAND OAKS),THOUSAND OAKS,252,4/30/14
AMMEX ENTERTAINMENT INC.,LOS ANGELES,169,2/6/14
APPLIED MATERIALS INC,SANTA CLARA,2,1/19/14
APPLIED MATERIALS INC,SUNNYVALE,2,1/19/14
"APPLIED MATERIALS, INC. - GARRETT
DRIVE",SANTA CLARA,1,5/18/14
"APPLIED MATERIALS, INC. -OAKMEAD
VILLAGE DRIVE",SANTA CLARA,2,5/18/14
"APPLIED MATERIALS, INC.-SCOTT
BOULEVARD",SANTA CLARA,4,5/18/14
ARVATO,VALENCIA,3,1/3/14
ARVATO,VALENCIA,49,2/7/14
ARVATO,VALENCIA,30,3/7/14
ARVATO,VALENCIA,28,5/2/14
ARVATO,VALENCIA,30,6/14/14
ARVATO,VALENCIA,10,7/8/14
"ASPLUNDH CONSTRUCTION, CORP.",NORWALK,83,2/1/14
"ASTEC AMERICA, LLC",CARLSBAD,40,6/28/14
ATLANTIC EXPRESS OF CALIFORNIA,LONG BEACH,149,1/31/14
"ATLANTIC EXPRESS OF L.A., INC",LOS ANGELES,307,1/21/14
"ATOS IT SOLUTIONS AND SERVICES,
INC.",IRVINE,1,2/28/14
"ATOS IT SOLUTIONS AND SERVICES,
INC.",IRVINE,1,2/28/14
"ATOS IT SOLUTIONS AND SERVICES,
INC.",WALNUT CREEK,1,2/28/14
"AVIAT U.S., INC",SANTA CLARA,62,3/28/14
AVNET INTEGRATED,SIMI VALLEY,3,2/28/14
BAE SYSTEMS,SAN FRANCISCO,200,1/16/14
BAE SYSTEMS,SAN FRANCISCO,196,3/16/14
BANK OF AMERICA,SIMI VALLEY,30,5/11/14
BANK OF AMERICA - LOS ANGELES,LOS ANGELES,57,4/13/14
BANK OF AMERICA-BREA,BREA,24,1/19/14
BANK OF AMERICA-CONCORD,CONCORD,71,4/13/14
"BANK OF AMERICA-LEGACY ASSET
SERVICING UNIT",SIMI VALLEY,117,1/19/14
BANK OF AMERICA-PASADENA,PASADENA,153,4/13/14
BANK OF AMERICA-SIMI VALLEY,SIMI VALLEY,44,1/19/14
BANK OF AMERICA-SIMI VALLEY,SIMI VALLEY,77,4/13/14
BANK OF AMERICA-WEST HILLS,WEST HILLS,49,1/19/14
"BANK OF AMERICA-WESTLAKE
VILLAGE",WESTLAKE VILLAGE,13,1/19/14
BAXTER HEALTHCARE CORPORATION,IRVINE,74,1/24/14
"BAY AREA NEWS GROUP-SHARED
SERVICES CENTER",SAN RAMON,55,5/12/14
BAYER HEALTH CARE,SUNNYVALE,6,1/21/14
BAYER HEALTH CARE,SUNNYVALE,34,2/4/14
BAYER HEALTH CARE,SUNNYVALE,8,5/27/14
"BAYER HEALTHCARE, LLC",SUNNYVALE,10,4/30/14
"BBB INDUSTRIES, LLC",STOCKTON,241,5/17/14
BELL GARDENS MCDONALD'S,BELL GARDENS,69,4/21/14
BELLFLOWER MEDICAL CENTER,BELLFLOWER,18,2/15/14
"BEST OPPORTUNITIES, INC.",BARSTOW,17,3/1/14
"BEST OPPORTUNITIES, INC.",BARSTOW,38,3/1/14
"BEST OPPORTUNITIES, INC.",BARSTOW,21,3/1/14
"BEST OPPORTUNITIES, INC.",BARSTOW,22,3/1/14
BIMBO BAKERIES USA,VERNON,160,3/28/14
"BIMBO BAKERIES USA, INC.",OAKLAND,160,3/3/14
"BLUE CHIP RECYCLING, LLC",PICO RIVERA,90,2/21/14
"BLUE CHIP TPM, LLC",TRACY,72,4/30/14
