Company Name,Location,"Employees
Affected","Layoff
Date"
AAR MOBILITY SYSTEMS,MCCLELLAN AFB,48,6/15/12
ABBOTT VASCULAR,MURRIETA,45,1/25/12
ABBOTT VASCULAR,MURRIETA,38,10/17/12
ABBOTT VASCULAR,TEMECULA,247,1/25/12
ABBOTT VASCULAR,TEMECULA,7,1/25/12
ABBOTT VASCULAR,TEMECULA,139,10/17/12
ABBOTT VASCULAR,TEMECULA,16,10/17/12
ABEO MANAGEMENT CORPORATION,LOS ANGELES,42,11/28/12
ABERCROMBIE & FITCH,ANAHEIM,51,1/14/12
ABERCROMBIE & FITCH,CAPITOLA,51,1/21/12
ABERCROMBIE & FITCH,RIVERSIDE,64,1/14/12
ABERCROMBIE & FITCH,SAN DIEGO,66,12/29/12
ABERCROMBIE & FITCH,SIMI VALLEY,70,3/24/12
ABERCROMBIE & FITCH,SIMI VALLEY,47,3/24/12
"ADAMS RITE MANUFACTURING
COMPANY",PONOMA,110,5/25/12
ADOBE SYSTEMS INCORPORATED,SAN FRANCISCO,121,1/31/12
ADOBE SYSTEMS INCORPORATED,SAN JOSE,103,1/31/12
"ADVANCED MICRO DEVICES, INC",SUNNYVALE,107,10/25/12
"ADVANCED MICRO DEVICES, INC.",SUNNYVALE,82,1/3/12
AERO-ELECTRIC INC,TORRANCE,23,11/23/12
"AERO-ELECTRIC, INC.",TORRANCE,72,3/19/12
AEROSPACE CORPORATION,ELSEGUNDO,239,5/31/12
AEROSPACE CORPORATION,VANDENBERG AFB,1,5/31/12
"AFFYMETRIX, INC",SANTA CLARA,69,1/8/12
ALBERSTONS STORE NO: 6366,GLENDALE,54,11/4/12
ALBERSTONS STORE NO: 6545,NORCO,55,11/4/12
"ALBERTSON'S, INC.",FULLERTON,3,1/9/12
"ALBERTSON'S, INC.",LA HABRA,2,1/9/12
"ALBERTSON'S, INC.",MURRIETA,5,1/9/12
"ALBERTSON'S, INC.",PALMDALE,3,1/9/12
"ALBERTSON'S, INC.","RANCHO
CUCAMONGA",5,1/9/12
"ALBERTSON'S, INC.",RIDGECREST,6,1/9/12
"ALBERTSON'S, INC.",TEHACHAPI,6,1/9/12
ALBERTSONS STORE NO: 6134,GARDEN GROVE,61,11/4/12
ALBERTSONS STORE NO: 6389,VAN NUYS,69,11/4/12
ALBERTSONS STORE NO: 6530,VICTORVILLE,62,11/4/12
ALBERTSONS STORE NO: 6535,MORENO VALLEY,57,11/4/12
ALBERTSONS STORE NO: 6537,ROWLAND HEIGHTS,61,11/4/12
ALBERTSONS STORE NO: 6548,ONTARIO,52,11/4/12
ALBERTSONS STORE NO: 6588,WALNUT,55,11/4/12
ALBERTSONS STORE NO: 6597,COVINA,61,11/4/12
ALBERTSONS STORE NO:6576,RIVERSIDE,59,11/4/12
ALBERTSONS STORE NO:6580,HACIENDA HEIGHTS,57,11/4/12
ALEXZA PHARMACEUTICALS,MOUNTAIN VIEW,27,2/17/12
ALVIN SOUZA DAIRY,TULARE,190,5/2/12
AMERICAN AIRLINES,COSTA MESA,43,11/16/12
AMERICAN AIRLINES,LOS ANGELES,1,8/24/12
AMERICAN AIRLINES,LOS ANGELES,14,9/21/12
AMERICAN AIRLINES,LOS ANGELES,706,11/16/12
AMERICAN AIRLINES,ONTARIO,2,11/16/12
AMERICAN AIRLINES,SAN DIEGO,80,11/16/12
AMERICAN AIRLINES,SAN FRANCISCO,8,9/21/12
AMERICAN AIRLINES,SAN FRANCISCO,224,11/16/12
AMERICAN AIRLINES,SAN JOSE,42,11/16/12
AMERICAN EAGLE (LAX),LOS ANGELES,269,11/15/12
"AMERICAN MEDICAL RESPONSE
WEST",CONCORD,139,4/1/12
"AMERICAN MEDICAL RESPONSE
WEST",SACRAMENTO,10,4/1/12
"AMERICAN MEDICAL RESPONSE
WEST",SAN JOSE,189,4/1/12
"AMERICAN MEDICAL RESPONSE
WEST",SAN RAFAEL,55,4/1/12
AMERICAN STORES COMPANY LLC,SAN DIEGO,61,6/26/12
"AMERON INTERNATIONAL WIND
TOWERS DIVISION",FONTANA,180,11/24/12
"AMONIX, INC.",SEAL BEACH,76,6/30/12
"AMPCO SYSTEMS PARKING/PPM.LLC
(OAKLAND AIRPORT PKG)",OAKLAND AIRPORT,56,12/1/12
"AMTRAK/PENINSULA CORRIDOR
JOINT POWERS BOARD (JPB)",MENLO PARK,58,5/25/12
"AMTRAK/PENINSULA CORRIDOR
JOINT POWERS BOARD (JPB)",SAN FRANCISCO,80,5/25/12
"AMTRAK/PENINSULA CORRIDOR
JOINT POWERS BOARD (JPB)",SAN JOSE,266,5/25/12
AMYLIN PHARMACEUTICALS LLC,SAN DIEGO,67,1/18/12
AMYLIN PHARMACEUTICALS LLC,SAN DIEGO,51,12/13/12
APPLIED MATERIALS,SANTA CLARA,2,5/20/12
APPLIED MATERIALS,SANTA CLARA,1,5/20/12
APPLIED MATERIALS,SANTA CLARA,3,5/20/12
"APPLIED MATERIALS, INC",SANTA CLARA,2,2/4/12
"APPLIED MATERIALS, INC",SANTA CLARA,6,11/26/12
"APPLIED MATERIALS, INC.",SANTA CLARA,10,2/4/12
"APPLIED MATERIALS, INC.",SANTA CLARA,21,4/15/12
"APPLIED MATERIALS, INC.",SANTA CLARA,8,4/15/12
"APPLIED MATERIALS, INC.",SANTA CLARA,29,7/23/12
"APPLIED MATERIALS, INC.",SANTA CLARA,9,8/30/12
"APPLIED MATERIALS, INC.",SANTA CLARA,11,9/16/12
"APPLIED MATERIALS, INC.",SANTA CLARA,11,11/4/12
